round,node_id,battery_level_after,energy_consumed
0,node_0,0.9975018395246106,0.00249816047538945
1,node_0,0.9921440484655087,0.0039279757672456206
2,node_0,0.9951277763146907,0.0016240745617697463
3,node_0,0.9950706622053088,0.0012323344486727978
4,node_0,0.9829776997651358,0.003404460046972835
5,node_0,0.9935059721369007,0.0010823379771832098
6,node_0,0.9696916060575882,0.004329770563201687
7,node_0,0.9861816010493728,0.0017272998688284025
8,node_0,0.9800472792534567,0.002216968971838151
9,node_0,0.9727221992543154,0.0027277800745684633
10,node_0,0.9620784726322154,0.003447411578889518
11,node_0,0.9739770568703096,0.002168578594140873
12,node_0,0.9632843608207141,0.0028242799368681437
13,node_0,0.9748182681991319,0.0017986951286334389
14,node_0,0.908828549768049,0.006078096682130062
15,node_0,0.946860747836964,0.0033212032601897547
16,node_0,0.91733702175093,0.004862528132298238
17,node_0,0.9264402508475108,0.004086652730693844
18,node_0,0.9475484104757903,0.0027606099749584055
19,node_0,0.8834745880857594,0.00582627059571203
20,node_0,0.9572624815455986,0.002035119926400068
21,node_0,0.9505694253041318,0.0022468443043576437
22,node_0,0.9267026543004183,0.0031868411173731188
23,node_0,0.8829198757346024,0.004878338511058234
24,node_0,0.8810501058435811,0.004757995766256757
25,node_0,0.9118184022036472,0.0033915999152443407
26,node_0,0.9634428097783927,0.001353970008207678
27,node_0,0.9669345436420197,0.0011809091556421523
28,node_0,0.92591343439602,0.0025547091587579283
29,node_0,0.8705514989017684,0.004314950036607717
30,node_0,0.9341641207987648,0.002123738038749523
31,node_0,0.9499616992032304,0.0015636968998990505
32,node_0,0.9571593150342702,0.0012982025747190833
33,node_0,0.8609747113756546,0.00408897907718663
34,node_0,0.9642269036026957,0.0010220884684944097
35,node_0,0.8622125424859431,0.0038274293753904685
36,node_0,0.7461872920396775,0.006859802917846555
37,node_0,0.9443879029521802,0.001463476238100519
38,node_0,0.863765492214901,0.0034931925073102316
39,node_0,0.9498306639542362,0.0012542334011440945
40,node_0,0.9056699351876135,0.002300733288106988
41,node_0,0.8508903448123242,0.0035502298854208528
42,node_0,0.8757790328721448,0.0028888597006477973
