seed_offset,seed,num_nodes_base,malicious_pct,distribution,baseline_compromised_pct,trust_aware_compromised_pct,trust_aware_clustering_compromised_pct,soft_cost_compromised_pct,valid_route_pairs
0,525,500,0.25,random,94.0,28.0,28.0,14.0,50
1,1525,500,0.25,random,67.35,4.08,4.08,4.08,49
2,2525,500,0.25,random,85.11,10.64,10.64,21.28,47
3,3525,500,0.25,random,92.0,10.0,10.0,10.0,50
4,4525,500,0.25,random,81.63,12.24,12.24,22.45,49
5,5525,500,0.25,random,88.0,8.0,8.0,10.0,50
6,6525,500,0.25,random,86.0,2.0,2.0,2.0,50
7,7525,500,0.25,random,88.0,4.0,4.0,4.0,50
8,8525,500,0.25,random,88.0,24.0,24.0,24.0,50
9,9525,500,0.25,random,78.0,38.0,38.0,26.0,50
10,10525,500,0.25,random,78.0,10.0,10.0,16.0,50
11,11525,500,0.25,random,84.0,48.0,50.0,54.0,50
12,12525,500,0.25,random,89.13,4.35,4.35,0.0,46
13,13525,500,0.25,random,90.0,4.0,4.0,4.0,50
14,14525,500,0.25,random,72.0,8.0,8.0,18.0,50
0,525,500,0.25,clustered,62.0,46.0,32.0,30.0,50
1,1525,500,0.25,clustered,63.27,32.65,32.65,32.65,49
2,2525,500,0.25,clustered,72.34,25.53,25.53,25.53,47
3,3525,500,0.25,clustered,44.0,38.0,38.0,38.0,50
4,4525,500,0.25,clustered,42.86,20.41,20.41,20.41,49
5,5525,500,0.25,clustered,44.0,32.0,32.0,32.0,50
6,6525,500,0.25,clustered,42.0,36.0,36.0,36.0,50
7,7525,500,0.25,clustered,34.0,32.0,32.0,32.0,50
8,8525,500,0.25,clustered,76.0,70.0,70.0,70.0,50
9,9525,500,0.25,clustered,64.0,46.0,44.0,46.0,50
10,10525,500,0.25,clustered,40.0,34.0,34.0,34.0,50
11,11525,500,0.25,clustered,48.0,34.0,34.0,34.0,50
12,12525,500,0.25,clustered,36.96,28.26,28.26,28.26,46
13,13525,500,0.25,clustered,56.0,50.0,50.0,50.0,50
14,14525,500,0.25,clustered,54.0,46.0,46.0,46.0,50
