node_id,round,energy_remaining,energy_delta,rolling_avg,is_attacked,anomaly_score,predicted_anomaly
161616,0,0.979401,0.0,0.979401,False,0.5812526538388023,False
221846,0,0.980565,0.0,0.980565,False,0.7190243377553546,True
84698,0,0.979416,0.0,0.979416,False,0.5812526538388023,False
114629,0,0.977247,0.0,0.977247,False,0.5149001904936815,False
83465,0,0.977285,0.0,0.977285,False,0.5060265840708268,False
369398,0,0.978895,0.0,0.978895,False,0.5256799839099167,False
13112,0,0.973824,0.0,0.973824,False,0.738082293518573,True
235202,0,0.979362,0.0,0.979362,False,0.5684464632114282,False
104286,0,0.979288,0.0,0.979288,False,0.5613661101601012,False
224231,0,0.978382,0.0,0.978382,False,0.4838975060218529,False
12995,0,0.979326,0.0,0.979326,False,0.5613661101601012,False
74905,0,0.974872,0.0,0.974872,False,0.7294949800468856,True
294254,0,0.974049,0.0,0.974049,False,0.7403640086519417,True
265229,0,0.979043,0.0,0.979043,False,0.5373999128539048,False
366026,0,0.973965,0.0,0.973965,False,0.738082293518573,True
269565,0,0.973697,0.0,0.973697,True,0.7355789884519742,True
242550,0,0.979413,0.0,0.979413,False,0.5812526538388023,False
82704,0,0.977646,0.0,0.977646,False,0.46726337243725724,False
213416,0,0.979799,0.0,0.979799,False,0.6431429374438045,True
45580,0,0.97736,0.0,0.97736,False,0.4991149323785296,False
280043,0,0.974677,0.0,0.974677,False,0.7364775826842906,True
50707,0,0.972554,0.0,0.972554,False,0.7507614870384312,True
28401,0,0.973322,0.0,0.973322,True,0.7315306772850243,True
33306,0,0.975154,0.0,0.975154,False,0.7001091441320827,True
23114,0,0.977468,0.0,0.977468,False,0.5017059087071244,False
114987,0,0.976938,0.0,0.976938,False,0.5585275397951233,False
325666,0,0.981155,0.0,0.981155,False,0.7787527413007137,True
92826,0,0.977895,0.0,0.977895,False,0.4649472949436216,False
165868,0,0.977334,0.0,0.977334,False,0.4991149323785296,False
306277,0,0.978171,0.0,0.978171,False,0.484967565995044,False
219949,0,0.975126,0.0,0.975126,False,0.7076096651537388,True
81499,0,0.977587,0.0,0.977587,False,0.4633011908746199,False
278463,0,0.979224,0.0,0.979224,False,0.5523909957760799,False
180331,0,0.974292,0.0,0.974292,False,0.7349829890226696,True
294076,0,0.978778,0.0,0.978778,False,0.5150467859921555,False
160007,0,0.978078,0.0,0.978078,False,0.4706177881607112,False
288528,0,0.977633,0.0,0.977633,False,0.4689679745111253,False
125541,0,0.979143,0.0,0.979143,False,0.5453540356183876,False
271358,0,0.977286,0.0,0.977286,False,0.5060265840708268,False
165767,0,0.979898,0.0,0.979898,False,0.644431467441422,True
52953,0,0.975962,0.0,0.975962,False,0.6237958318745891,False
57288,0,0.980535,0.0,0.980535,False,0.7208993354902122,True
116876,0,0.978925,0.0,0.978925,False,0.5256799839099167,False
356263,0,0.977385,0.0,0.977385,False,0.5025684200605605,False
129087,0,0.979275,0.0,0.979275,False,0.5613661101601012,False
174160,0,0.980319,0.0,0.980319,False,0.6839975768184321,True
155560,0,0.976014,0.0,0.976014,True,0.6183715391294661,False
93665,0,0.979244,0.0,0.979244,False,0.563134402402042,False
58485,0,0.976656,0.0,0.976656,False,0.5800837933736245,False
10211,0,0.979576,0.0,0.979576,False,0.6171454074123897,False
18889,0,0.979228,0.0,0.979228,False,0.5544564504126036,False
245392,0,0.977528,0.0,0.977528,False,0.4803985670652608,False
354005,0,0.979047,0.0,0.979047,False,0.5471114906440742,False
315631,0,0.972654,0.0,0.972654,False,0.7507614870384312,True
131813,0,0.978706,0.0,0.978706,False,0.5110094319858377,False
99724,0,0.978098,0.0,0.978098,False,0.4723246605542995,False
215535,0,0.980165,0.0,0.980165,False,0.6784512129723567,True
351364,0,0.978268,0.0,0.978268,False,0.4864294319889305,False
26633,0,0.9745,0.0,0.9745,True,0.7327077895816414,True
146002,0,0.979913,0.0,0.979913,False,0.644431467441422,True
124118,0,0.97647,0.0,0.97647,False,0.6033730392879181,False
209546,0,0.978921,0.0,0.978921,False,0.5256799839099167,False
293540,0,0.977615,0.0,0.977615,False,0.4689679745111253,False
130111,0,0.978807,0.0,0.978807,False,0.5150467859921555,False
1701,0,0.977711,0.0,0.977711,False,0.4618038200929088,False
24025,0,0.972524,0.0,0.972524,False,0.7488662918139404,True
211694,0,0.980263,0.0,0.980263,False,0.6839975768184321,True
101255,0,0.980091,0.0,0.980091,False,0.6618795084477335,True
299391,0,0.979395,0.0,0.979395,False,0.5812526538388023,False
139883,0,0.975514,0.0,0.975514,True,0.6611843054370512,True
238555,0,0.980723,0.0,0.980723,False,0.738435299902552,True
221333,0,0.97789,0.0,0.97789,False,0.4649472949436216,False
30741,0,0.972236,0.0,0.972236,True,0.7654906741934902,True
123314,0,0.976507,0.0,0.976507,False,0.5961982906541023,False
119325,0,0.978571,0.0,0.978571,False,0.49581161144317404,False
86574,0,0.971137,0.0,0.971137,True,0.7846587182607159,True
341911,0,0.977394,0.0,0.977394,False,0.5025684200605605,False
30866,0,0.979142,0.0,0.979142,False,0.5453540356183876,False
340723,0,0.979091,0.0,0.979091,False,0.5467469101663691,False
332911,0,0.97582,0.0,0.97582,True,0.6443391489515573,True
211089,0,0.978527,0.0,0.978527,False,0.49128260912942917,False
281527,0,0.980386,0.0,0.980386,False,0.6980212774306965,True
164419,0,0.974989,0.0,0.974989,True,0.7219793633578531,True
334030,0,0.976409,0.0,0.976409,False,0.6051697624601493,False
213058,0,0.979337,0.0,0.979337,False,0.566674578117414,False
350737,0,0.972228,0.0,0.972228,True,0.7654906741934902,True
22780,0,0.976511,0.0,0.976511,False,0.5961982906541023,False
112321,0,0.97878,0.0,0.97878,False,0.5167837286090726,False
281168,0,0.982385,0.0,0.982385,False,0.8127011223650029,True
53587,0,0.979142,0.0,0.979142,False,0.5453540356183876,False
139041,0,0.978323,0.0,0.978323,False,0.4829977683746413,False
199191,0,0.978631,0.0,0.978631,False,0.4971779108749402,False
338428,0,0.974884,0.0,0.974884,True,0.7294949800468856,True
48625,0,0.979225,0.0,0.979225,False,0.5523909957760799,False
297458,0,0.980069,0.0,0.980069,False,0.6618795084477335,True
137752,0,0.974317,0.0,0.974317,True,0.7349829890226696,True
229734,0,0.976121,0.0,0.976121,False,0.6123688238787207,False
244855,0,0.978907,0.0,0.978907,False,0.5256799839099167,False
264979,0,0.976995,0.0,0.976995,False,0.5447000538645347,False
314019,0,0.977728,0.0,0.977728,False,0.4618038200929088,False
104633,0,0.980115,0.0,0.980115,False,0.6618795084477335,True
284266,0,0.975727,0.0,0.975727,False,0.649816203213468,True
277317,0,0.978034,0.0,0.978034,False,0.4689120702230372,False
289428,0,0.976373,0.0,0.976373,False,0.6051697624601493,False
288255,0,0.976427,0.0,0.976427,True,0.6051697624601493,False
67314,0,0.978584,0.0,0.978584,False,0.49581161144317404,False
219794,0,0.978731,0.0,0.978731,False,0.5115764243461456,False
130367,0,0.978517,0.0,0.978517,False,0.49128260912942917,False
335544,0,0.973812,0.0,0.973812,False,0.738082293518573,True
123930,0,0.977526,0.0,0.977526,False,0.48438961718586093,False
236708,0,0.9778,0.0,0.9778,False,0.46359827510951407,False
146068,0,0.978394,0.0,0.978394,False,0.4838975060218529,False
298673,0,0.979154,0.0,0.979154,False,0.5453540356183876,False
