row_idx,node_id,true_label,xgb_pred,gnn_pred,xgb_correct,gnn_correct
92973,node_802095,0,0,0,True,True
265115,node_116020,0,0,0,True,True
243678,node_111003,0,0,0,True,True
184611,node_113092,0,0,0,True,True
223273,node_104071,0,0,0,True,True
219626,node_201099,0,0,0,True,True
241911,node_112092,0,0,0,True,True
143557,node_114088,0,0,0,True,True
332150,node_104002,0,0,0,True,True
296037,node_115024,0,0,0,True,True
278508,node_1601041,0,0,0,True,True
166925,node_208031,1,1,0,True,False
136687,node_119058,0,0,0,True,True
316028,node_212053,0,0,0,True,True
119926,node_2201043,1,1,0,True,False
110148,node_118010,0,0,0,True,True
293749,node_704071,0,0,0,True,True
140973,node_402005,1,1,0,True,False
292011,node_3101088,0,0,0,True,True
308907,node_110068,0,0,0,True,True
313488,node_106081,0,0,0,True,True
1555,node_116057,0,0,0,True,True
143198,node_111029,0,0,0,True,True
331091,node_801075,1,1,0,True,False
181788,node_118096,0,0,0,True,True
247692,node_110050,0,0,0,True,True
81541,node_305093,0,0,0,True,True
156097,node_208064,0,0,0,True,True
249253,node_207018,0,0,0,True,True
106278,node_301088,0,0,0,True,True
86258,node_214089,0,0,0,True,True
300432,node_103035,0,0,0,True,True
268101,node_105037,0,0,0,True,True
273905,node_307037,0,0,0,True,True
155174,node_119034,0,0,0,True,True
293859,node_802044,0,0,0,True,True
196236,node_106018,0,0,0,True,True
330975,node_703095,1,1,0,True,False
238167,node_105008,0,0,0,True,True
319835,node_105024,0,0,0,True,True
104500,node_117075,0,0,0,True,True
25342,node_204079,0,0,0,True,True
15892,node_103042,0,0,0,True,True
141401,node_604041,1,1,0,True,False
36005,node_109036,0,0,0,True,True
300745,node_401069,1,1,0,True,False
124109,node_113050,0,0,0,True,True
214456,node_120078,0,0,0,True,True
361067,node_113039,0,0,0,True,True
200722,node_117086,0,0,0,True,True
368914,node_104084,0,0,0,True,True
109746,node_114008,0,0,0,True,True
273805,node_304037,1,1,0,True,False
156865,node_216090,0,0,0,True,True
131534,node_107025,0,0,0,True,True
284713,node_205066,0,0,0,True,True
229909,node_409054,0,0,0,True,True
200607,node_116071,0,0,0,True,True
8989,node_102025,0,0,0,True,True
315912,node_211026,0,0,0,True,True
57020,node_106042,0,0,0,True,True
267905,node_103041,0,0,0,True,True
356412,node_213011,0,0,0,True,True
357562,node_107023,0,0,0,True,True
184958,node_117039,0,0,0,True,True
262747,node_114036,0,0,0,True,True
231796,node_112063,0,0,0,True,True
168015,node_405075,1,1,0,True,False
30865,node_3401016,0,0,0,True,True
330712,node_601016,1,1,1,True,True
156068,node_208035,0,0,0,True,True
313172,node_103065,0,0,0,True,True
131010,node_101098,0,0,0,True,True
336272,node_103040,0,0,0,True,True
7677,node_101067,0,0,0,True,True
178561,node_103060,0,0,0,True,True
21140,node_406023,0,0,0,True,True
39423,node_107092,0,0,0,True,True
90015,node_114098,0,0,0,True,True
299027,node_102065,0,0,0,True,True
1789,node_101075,0,0,0,True,True
32100,node_113027,0,0,0,True,True
30109,node_105053,0,0,0,True,True
48181,node_119019,0,0,0,True,True
142986,node_109017,0,0,0,True,True
321009,node_102079,0,0,0,True,True
105343,node_207044,0,0,0,True,True
185703,node_103083,0,0,0,True,True
47591,node_113029,0,0,0,True,True
306324,node_302034,0,0,0,True,True
36945,node_118079,0,0,0,True,True
52756,node_108061,0,0,0,True,True
199825,node_108089,0,0,0,True,True
208020,node_506068,0,0,0,True,True
173051,node_107090,0,0,0,True,True
309944,node_202008,0,0,0,True,True
159875,node_107030,0,0,0,True,True
293222,node_405016,0,0,0,True,True
94154,node_111028,0,0,0,True,True
171414,node_109005,1,1,0,True,False
247067,node_104025,0,0,0,True,True
174420,node_203090,0,0,0,True,True
275733,node_101096,0,0,0,True,True
234105,node_303000,0,0,0,True,True
89383,node_108066,0,0,0,True,True
73423,node_120004,0,0,0,True,True
197354,node_117096,0,0,0,True,True
225664,node_107049,0,0,0,True,True
74501,node_210098,0,0,0,True,True
227259,node_203046,0,0,0,True,True
300178,node_3301009,0,0,0,True,True
365609,node_404073,0,0,0,True,True
309963,node_202027,0,0,0,True,True
168271,node_602039,1,1,0,True,False
236923,node_113084,0,0,0,True,True
91134,node_206023,0,0,0,True,True
1365,node_114065,0,0,0,True,True
314666,node_118059,0,0,0,True,True
24379,node_101026,0,0,0,True,True
227103,node_201088,0,0,0,True,True
347036,node_112088,0,0,0,True,True
326723,node_106039,0,0,0,True,True
203940,node_107091,0,0,0,True,True
319609,node_101098,0,0,0,True,True
177764,node_107000,0,0,0,True,True
138840,node_102029,0,0,0,True,True
122228,node_205011,0,0,0,True,True
302827,node_102008,0,0,0,True,True
225766,node_108051,0,0,0,True,True
45313,node_102039,0,0,0,True,True
245347,node_106042,0,0,0,True,True
224462,node_116060,0,0,0,True,True
232045,node_115012,0,0,0,True,True
315735,node_209037,0,0,0,True,True
241302,node_106081,0,0,0,True,True
97415,node_309009,1,1,0,True,False
76955,node_508079,0,0,0,True,True
18479,node_104060,0,1,0,False,True
261019,node_117090,0,0,0,True,True
23260,node_307018,0,0,0,True,True
287748,node_108051,0,0,0,True,True
