seed,epoch,train_loss,val_loss
42,0,0.22579339146614075,0.1583620309829712
42,1,0.11838734149932861,0.08542609214782715
42,2,0.06294284015893936,0.04537630081176758
42,3,0.03363509848713875,0.024541102349758148
42,4,0.018357815220952034,0.013597418554127216
42,5,0.010244439356029034,0.0076841008849442005
42,6,0.005843967664986849,0.0044412859715521336
42,7,0.003404226154088974,0.002634261269122362
42,8,0.0020503676496446133,0.0016514916205778718
42,9,0.0013109258143231273,0.0011119007831439376
42,10,0.0009058457799255848,0.0008082085987553
42,11,0.000666911480948329,0.0006294856430031359
42,12,0.000518167216796428,0.0005124523304402828
42,13,0.00042485128506086767,0.000421870790887624
42,14,0.0003570503613445908,0.00035274040419608355
42,15,0.0003070024831686169,0.0003012340748682618
42,16,0.0002702564524952322,0.00026694050757214427
42,17,0.0002413186157355085,0.0002362789527978748
42,18,0.00021615425066556782,0.00020866705744992942
42,19,0.00019283055735286325,0.0001828314270824194
42,20,0.00017172122898045927,0.0001626762532396242
42,21,0.00015379807155113667,0.00014525908045470715
42,22,0.0001387412630720064,0.00013116961054038256
42,23,0.00012631902063731104,0.00012043560855090618
42,24,0.00011620077566476539,0.00011289980466244742
42,25,0.00010816190479090437,0.00010884975199587643
42,26,0.00010199211828876287,0.0001070246726158075
42,27,9.758080705069005e-05,0.00010670773917809129
42,28,9.468603821005672e-05,0.0001068502533598803
42,29,9.278930519940332e-05,0.000106689432868734
42,30,9.150274127023295e-05,0.00010558064968790859
42,31,9.065597987500951e-05,0.00010418543388368562
42,32,9.005826723296195e-05,0.00010268548794556409
42,33,8.964931475929916e-05,0.00010142107930732891
42,34,8.935055666370317e-05,0.00010004016075981781
42,35,8.909399184631184e-05,9.899347787722945e-05
42,36,8.886039722710848e-05,9.801158012123778e-05
42,37,8.862218965077773e-05,9.709985897643492e-05
42,38,8.836780034471303e-05,9.62370031629689e-05
42,39,8.81031810422428e-05,9.549520473228768e-05
42,40,8.782238728599623e-05,9.473798854742199e-05
42,41,8.753492147661746e-05,9.404328011441976e-05
42,42,8.724138751858845e-05,9.338919335277751e-05
42,43,8.692945266375318e-05,9.274787589674816e-05
42,44,8.660023013362661e-05,9.215281897922978e-05
42,45,8.627369243185967e-05,9.155408042715862e-05
42,46,8.592187077738345e-05,9.099169255932793e-05
42,47,8.558547415304929e-05,9.036995470523834e-05
42,48,8.523201540810987e-05,8.982013969216496e-05
42,49,8.487183367833495e-05,8.928051101975143e-05
1,0,0.08520984649658203,0.006332187447696924
1,1,0.0016458083409816027,0.00040747487219050527
1,2,0.00030786500428803265,0.00023401352518703789
1,3,0.00018063846800941974,0.00014132510113995522
1,4,0.0001128099174820818,9.523993503535166e-05
1,5,8.115680248010904e-05,7.521894440287724e-05
1,6,6.797756941523403e-05,6.745971768395975e-05
1,7,6.280092929955572e-05,6.448190106311813e-05
1,8,6.066947025828995e-05,6.303013651631773e-05
1,9,5.9637044614646584e-05,6.216018664417788e-05
1,10,5.9029018302680925e-05,6.163257785374299e-05
1,11,5.859672819497064e-05,6.133436545496807e-05
1,12,5.822421007906087e-05,6.104379281168804e-05
1,13,5.785758912679739e-05,6.050831143511459e-05
1,14,5.7485656725475565e-05,5.980291462037712e-05
1,15,5.709418473998085e-05,5.919496834394522e-05
1,16,5.667118603014387e-05,5.873811096535064e-05
1,17,5.6208922615041956e-05,5.819161015097052e-05
1,18,5.5700307711958885e-05,5.7501230912748724e-05
1,19,5.5167012760648504e-05,5.6875931477406994e-05
1,20,5.46417104487773e-05,5.626140773529187e-05
1,21,5.4113716032588854e-05,5.569449422182515e-05
1,22,5.3559302614303306e-05,5.515528027899563e-05
1,23,5.300007978803478e-05,5.445181523100473e-05
1,24,5.246737055131234e-05,5.3690248023485765e-05
1,25,5.1915983931394294e-05,5.3029409173177555e-05
1,26,5.130616045789793e-05,5.258527380647138e-05
1,27,5.0647529860725626e-05,5.232357216300443e-05
1,28,4.999138036509976e-05,5.179104846320115e-05
1,29,4.937175253871828e-05,5.095465894555673e-05
1,30,4.879144034930505e-05,5.001425597583875e-05
1,31,4.824504139833152e-05,4.917445403407328e-05
1,32,4.7723937314003706e-05,4.846117371926084e-05
1,33,4.720914512290619e-05,4.7806734073674306e-05
1,34,4.668370456784032e-05,4.7196459490805864e-05
1,35,4.6141412894940004e-05,4.663338768295944e-05
1,36,4.5579392462968826e-05,4.609393727150746e-05
1,37,4.4996297219768167e-05,4.554297265713103e-05
1,38,4.439743497641757e-05,4.496835026657209e-05
1,39,4.3796484533231705e-05,4.43888820882421e-05
1,40,4.321318192523904e-05,4.3824380554724485e-05
1,41,4.2658492020564154e-05,4.3274245399516076e-05
1,42,4.2123807361349463e-05,4.272688602213748e-05
1,43,4.1598450479796156e-05,4.2180810851277784e-05
1,44,4.1084957047132775e-05,4.164986967225559e-05
1,45,4.058763079228811e-05,4.114391776965931e-05
1,46,4.010486009065062e-05,4.0657112549524754e-05
1,47,3.962824848713353e-05,4.017825631308369e-05
1,48,3.915269553544931e-05,3.9699734770692885e-05
1,49,3.867528721457347e-05,3.921992902178317e-05
7,0,0.11673959344625473,0.03841770812869072
7,1,0.016108766198158264,0.0007220875704661012
7,2,0.0003259799850638956,0.00010603720147628337
7,3,0.00010029016993939877,0.00010281765571562573
7,4,9.713732288219035e-05,9.956916619557887e-05
7,5,9.413161023985595e-05,9.620057244319469e-05
7,6,9.125284850597382e-05,9.300718375016004e-05
7,7,8.851733582559973e-05,9.016648982651532e-05
7,8,8.60767177073285e-05,8.771439752308652e-05
7,9,8.401191735174507e-05,8.571604848839343e-05
7,10,8.226270438171923e-05,8.40624634292908e-05
7,11,8.059797255555168e-05,8.249990059994161e-05
7,12,7.882859063101932e-05,8.117087418213487e-05
7,13,7.698828994762152e-05,7.984667172422633e-05
7,14,7.512205047532916e-05,7.856218871893361e-05
7,15,7.32744374545291e-05,7.72289204178378e-05
7,16,7.14327979949303e-05,7.543163519585505e-05
7,17,6.960435712244362e-05,7.337853458011523e-05
7,18,6.777187081752345e-05,7.17843504389748e-05
7,19,6.589636905118823e-05,6.988619861658663e-05
7,20,6.40352227492258e-05,6.708322325721383e-05
7,21,6.223456875886768e-05,6.405942986020818e-05
7,22,6.053217293811031e-05,6.18294725427404e-05
7,23,5.890582542633638e-05,6.0448579461080953e-05
7,24,5.731240889872424e-05,5.906401565880515e-05
7,25,5.5740925745340064e-05,5.728924224968068e-05
7,26,5.42631751159206e-05,5.541119753615931e-05
7,27,5.285800216370262e-05,5.3907555411569774e-05
7,28,5.150242577656172e-05,5.2597759349737316e-05
7,29,5.022966070100665e-05,5.13781669724267e-05
7,30,4.896098471363075e-05,5.010542008676566e-05
7,31,4.7734334657434374e-05,4.8846934078028426e-05
7,32,4.656388773582876e-05,4.77733337902464e-05
7,33,4.541945963865146e-05,4.666180393542163e-05
7,34,4.4336247810861096e-05,4.549105869955383e-05
7,35,4.325542249716818e-05,4.451663699001074e-05
7,36,4.221002382109873e-05,4.399484896566719e-05
7,37,4.1172555938828737e-05,4.3413445382611826e-05
7,38,4.016288949060254e-05,4.239466579747386e-05
7,39,3.91914218198508e-05,4.1018247429747134e-05
7,40,3.8249654608080164e-05,3.9643080526730046e-05
7,41,3.730442767846398e-05,3.841087527689524e-05
7,42,3.635815664893016e-05,3.733133780770004e-05
7,43,3.539793033269234e-05,3.633414598880336e-05
7,44,3.444808316999115e-05,3.535028008627705e-05
7,45,3.354017826495692e-05,3.436147017055191e-05
7,46,3.269985245424323e-05,3.34299256792292e-05
7,47,3.192324220435694e-05,3.2628930057398975e-05
7,48,3.117494270554744e-05,3.1968793337000534e-05
7,49,3.04428358504083e-05,3.141270644846372e-05
123,0,0.05015898495912552,0.0011867324355989695
123,1,0.000838214997202158,0.0007252627401612699
123,2,0.0006425983156077564,0.0005780793726444244
123,3,0.0005343884695321321,0.0005027285660617054
